,player_name,link,club,country,age,position,foot,height,weight,player_id,wages,contract_end,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off the Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,sum_stats,lower_name,name,estimated_value,log_value,cluster,tsne_1,tsne_2,closest_0,closest_1,closest_2,closest_3,closest_4,closest_5,closest_6,closest_7,closest_8,closest_9,index_tracker
0,Kevin De Bruyne,https://fminside.net/players/3-fm-23/18004457-kevin-de-bruyne,Man City,Belgium,31.0,"MC, MR, ML, AMCMC, AMC",Right,181 CM,68 KG,18004457.0,"€ 394,400 pw",2025-06-30,14.0,19.0,15.0,16.0,16.0,17.0,6.0,17.0,7.0,9.0,18.0,16.0,9.0,18.0,12.0,14.0,13.0,15.0,15.0,18.0,17.0,16.0,13.0,14.0,10.0,14.0,20.0,15.0,15.0,13.0,14.0,10.0,16.0,14.0,16.0,13.0,514.0,kevin-de-bruyne,kevin-de-bruyne,40085974.29840431,17.50653706297407,9.0,-9.440058,-14.239049,arthur,dani-olmo,luka-modric,sergio-canales,jorginho,martin-odegaard,marco-reus,toni-kroos,marco-verratti,frenkie-de-jong,0
1,Kylian Mbappé,https://fminside.net/players/3-fm-23/85139014-kylian-mbappe,Paris Saint-Germain,France,23.0,"AMR, AML, STAML, ST",Right,178 CM,73 KG,85139014.0,"€ 1,035,690 pw",2025-06-30,13.0,13.0,18.0,17.0,18.0,12.0,7.0,13.0,4.0,4.0,15.0,18.0,4.0,17.0,6.0,17.0,12.0,18.0,14.0,15.0,15.0,18.0,13.0,18.0,3.0,10.0,15.0,10.0,20.0,16.0,15.0,8.0,15.0,20.0,14.0,11.0,476.0,kylian-mbappé,kylian-mbappe,210898854.4301384,19.16688921361888,12.0,-0.8145625,-31.971363,joao-felix,lucas-zelarayan,lionel-messi,neymar,julian-brandt,marco-asensio,paulo-dybala,khvicha-kvaratskhelia,memphis-depay,angel-di-maria,1
2,Robert Lewandowski,https://fminside.net/players/3-fm-23/719601-robert-lewandowski,FC Barcelona,Poland,33.0,STST,Right,185 CM,81 KG,719601.0,"€ 500,035,600","€ 345,230 pw",3.0,8.0,13.0,19.0,18.0,15.0,17.0,12.0,3.0,7.0,13.0,19.0,7.0,16.0,15.0,19.0,16.0,17.0,17.0,17.0,20.0,14.0,15.0,19.0,7.0,15.0,14.0,15.0,14.0,13.0,19.0,15.0,19.0,14.0,18.0,16.0,518.0,robert-lewandowski,robert-lewandowski,101760585.16274448,18.438133407959604,14.0,34.174026,-5.443024,dusan-vlahovic,erling-haaland,wout-weghorst,jonathan-calleri,gerard-moreno,sergej-milinkovic-savic,romelu-lukaku,ciro-immobile,alvaro-morata,mehdi-taremi,2
3,Karim Benzema,https://fminside.net/players/3-fm-23/8435089-karim-benzema,Real Madrid,France,34.0,STST,Right,185 CM,82 KG,8435089.0,"€ 1,000,000,000","€ 321,940 pw",10.0,13.0,16.0,17.0,20.0,12.0,15.0,12.0,7.0,7.0,18.0,15.0,9.0,20.0,7.0,14.0,10.0,18.0,14.0,17.0,18.0,17.0,11.0,15.0,12.0,16.0,18.0,14.0,15.0,14.0,15.0,11.0,11.0,15.0,14.0,14.0,501.0,karim-benzema,karim-benzema,69586313.74344204,18.058078464350935,9.0,1.4908371,-9.998077,sergio-canales,martin-odegaard,frenkie-de-jong,bernardo-silva,thiago,pedri,ilkay-gundogan,bruno-guimaraes,marco-verratti,luka-modric,3
4,Erling Haaland,https://fminside.net/players/3-fm-23/29179241-erling-haaland,Man City,Norway,21.0,STST,Left,195 CM,88 KG,29179241.0,"€ 394,400 pw",2027-06-30,7.0,10.0,14.0,18.0,16.0,13.0,15.0,13.0,5.0,6.0,13.0,17.0,7.0,15.0,13.0,18.0,15.0,18.0,15.0,13.0,20.0,16.0,13.0,18.0,7.0,13.0,14.0,13.0,17.0,16.0,17.0,18.0,19.0,19.0,14.0,17.0,512.0,erling-haaland,erling-haaland,421353023.90948033,19.858981576873344,14.0,34.324554,-5.3422236,ciro-immobile,robert-lewandowski,jonathan-calleri,wout-weghorst,romelu-lukaku,dusan-vlahovic,sergej-milinkovic-savic,alvaro-morata,gerard-moreno,mehdi-taremi,4
5,Lionel Messi,https://fminside.net/players/3-fm-23/7458500-lionel-messi,Paris Saint-Germain,Argentina,35.0,"AMR, AMC, STAMR, AMC, ST",Left,169 CM,67 KG,7458500.0,"€ 776,770 pw",2023-06-30,15.0,15.0,20.0,17.0,19.0,18.0,10.0,16.0,4.0,4.0,19.0,17.0,7.0,20.0,7.0,16.0,10.0,16.0,13.0,18.0,20.0,20.0,14.0,14.0,5.0,14.0,20.0,9.0,16.0,15.0,18.0,6.0,14.0,15.0,13.0,9.0,503.0,lionel-messi,lionel-messi,54706772.04418738,17.817498063096433,12.0,-2.0741992,-31.377352,paulo-dybala,angel-di-maria,memphis-depay,neymar,kylian-mbappe,khvicha-kvaratskhelia,joao-felix,antoine-griezmann,marco-asensio,julian-brandt,5
6,Harry Kane,https://fminside.net/players/3-fm-23/28049320-harry-kane,Tottenham Hotspur,England,28.0,"AMC, STST",Both,188 CM,86 KG,28049320.0,"€ 255,200 pw",2024-06-30,9.0,15.0,14.0,19.0,15.0,10.0,15.0,15.0,6.0,10.0,18.0,20.0,11.0,16.0,11.0,15.0,14.0,18.0,15.0,18.0,19.0,12.0,15.0,16.0,12.0,18.0,18.0,16.0,12.0,12.0,14.0,13.0,16.0,14.0,16.0,15.0,522.0,harry-kane,harry-kane,81747234.89610808,18.219142543268777,1.0,1.8242555,-8.644823,daniel-alves,david-alaba,luis-suarez,lorenzo-pellegrini,sandro-tonali,ruben-neves,koke,dani-parejo,rodrigo-de-paul,granit-xhaka,6
7,Mohamed Salah,https://fminside.net/players/3-fm-23/98028755-mohamed-salah,Liverpool,Egypt,30.0,"AMR, AML, STAMR, ST",Left,175 CM,72 KG,98028755.0,"€ 406,000 pw",2025-06-30,11.0,14.0,16.0,16.0,17.0,12.0,10.0,13.0,6.0,7.0,15.0,17.0,7.0,17.0,11.0,15.0,10.0,15.0,15.0,15.0,18.0,15.0,11.0,17.0,9.0,16.0,17.0,15.0,18.0,16.0,17.0,8.0,17.0,17.0,15.0,15.0,500.0,mohamed-salah,mohamed-salah,77634883.79006316,18.16752741752069,12.0,2.2368734,-11.479468,domenico-berardi,dejan-kulusevski,rachid-ghezzal,angel-correa,teji-savanier,james-maddison,steven-berghuis,matteo-politano,jonathan-viera,pablo-sarabia,7
8,Luka Modric,https://fminside.net/players/3-fm-23/653054-luka-modric,Real Madrid,Croatia,36.0,"MC, AMCMC",Right,172 CM,67 KG,653054.0,"€ 750,053,380","€ 321,940 pw",16.0,16.0,17.0,9.0,20.0,13.0,8.0,14.0,7.0,8.0,19.0,14.0,11.0,19.0,12.0,17.0,14.0,18.0,18.0,18.0,17.0,13.0,14.0,15.0,15.0,17.0,19.0,16.0,12.0,14.0,13.0,7.0,13.0,13.0,13.0,8.0,507.0,luka-modric,luka-modric,14227219.663767306,16.4706675654359,9.0,-3.698316,-9.336871,pedri,frenkie-de-jong,sergio-canales,bernardo-silva,thiago,martin-odegaard,ilkay-gundogan,jorginho,marco-verratti,bruno-guimaraes,8
9,Virgil van Dijk,https://fminside.net/players/3-fm-23/37024025-virgil-van-dijk,Liverpool,Netherlands,30.0,DCDC,Right,193 CM,92 KG,37024025.0,"€ 278,400 pw",2025-06-30,3.0,6.0,13.0,8.0,17.0,13.0,18.0,7.0,8.0,16.0,16.0,10.0,17.0,16.0,17.0,16.0,15.0,17.0,16.0,16.0,16.0,11.0,17.0,8.0,16.0,14.0,14.0,14.0,15.0,12.0,15.0,17.0,17.0,15.0,14.0,17.0,497.0,virgil-van-dijk,virgil-van-dijk,64664862.20973407,17.984728523996985,8.0,-18.62812,24.708313,marquinhos,tomas-soucek,benjamin-pavard,thiago-silva,gerard-pique,joao-palhinha,sergio-busquets,john-stones,axel-witsel,william-carvalho,9
