,player_name,link,club,country,age,position,foot,height,weight,player_id,wages,contract_end,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off the Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength
0,Kevin De Bruyne,https://fminside.net/players/3-fm-23/18004457-kevin-de-bruyne,Man City,Belgium,31,"MC, MR, ML, AMCMC, AMC",Right,181 CM,68 KG,18004457,"€ 394,400 pw",2025-06-30,14,19,15,16,16,17,6,17,7,9,18,16,9,18,12,14,13,15,15,18,17,16,13,14,10,14,20,15,15,13,14,10,16,14,16,13
1,Kylian Mbappé,https://fminside.net/players/3-fm-23/85139014-kylian-mbappe,Paris Saint-Germain,France,23,"AMR, AML, STAML, ST",Right,178 CM,73 KG,85139014,"€ 1,035,690 pw",2025-06-30,13,13,18,17,18,12,7,13,4,4,15,18,4,17,6,17,12,18,14,15,15,18,13,18,3,10,15,10,20,16,15,8,15,20,14,11
2,Robert Lewandowski,https://fminside.net/players/3-fm-23/719601-robert-lewandowski,FC Barcelona,Poland,33,STST,Right,185 CM,81 KG,719601,"€ 500,035,600","€ 345,230 pw",3,8,13,19,18,15,17,12,3,7,13,19,7,16,15,19,16,17,17,17,20,14,15,19,7,15,14,15,14,13,19,15,19,14,18,16
3,Karim Benzema,https://fminside.net/players/3-fm-23/8435089-karim-benzema,Real Madrid,France,34,STST,Right,185 CM,82 KG,8435089,"€ 1,000,000,000","€ 321,940 pw",10,13,16,17,20,12,15,12,7,7,18,15,9,20,7,14,10,18,14,17,18,17,11,15,12,16,18,14,15,14,15,11,11,15,14,14
4,Erling Haaland,https://fminside.net/players/3-fm-23/29179241-erling-haaland,Man City,Norway,21,STST,Left,195 CM,88 KG,29179241,"€ 394,400 pw",2027-06-30,7,10,14,18,16,13,15,13,5,6,13,17,7,15,13,18,15,18,15,13,20,16,13,18,7,13,14,13,17,16,17,18,19,19,14,17
5,Lionel Messi,https://fminside.net/players/3-fm-23/7458500-lionel-messi,Paris Saint-Germain,Argentina,35,"AMR, AMC, STAMR, AMC, ST",Left,169 CM,67 KG,7458500,"€ 776,770 pw",2023-06-30,15,15,20,17,19,18,10,16,4,4,19,17,7,20,7,16,10,16,13,18,20,20,14,14,5,14,20,9,16,15,18,6,14,15,13,9
6,Harry Kane,https://fminside.net/players/3-fm-23/28049320-harry-kane,Tottenham Hotspur,England,28,"AMC, STST",Both,188 CM,86 KG,28049320,"€ 255,200 pw",2024-06-30,9,15,14,19,15,10,15,15,6,10,18,20,11,16,11,15,14,18,15,18,19,12,15,16,12,18,18,16,12,12,14,13,16,14,16,15
7,Thibaut Courtois,https://fminside.net/players/3-fm-23/18026122-thibaut-courtois,Real Madrid,Belgium,30,GKGK,Left,199 CM,96 KG,18026122,"€ 700,049,850","€ 296,070 pw",20,16,12,5,10,16,16,18,13,6,19,12,15,8,15,15,12,16,16,16,14,13,2,16,14,9,11,12,13,14,18,12,11,8,14,7
8,Mohamed Salah,https://fminside.net/players/3-fm-23/98028755-mohamed-salah,Liverpool,Egypt,30,"AMR, AML, STAMR, ST",Left,175 CM,72 KG,98028755,"€ 406,000 pw",2025-06-30,11,14,16,16,17,12,10,13,6,7,15,17,7,17,11,15,10,15,15,15,18,15,11,17,9,16,17,15,18,16,17,8,17,17,15,15
9,Luka Modric,https://fminside.net/players/3-fm-23/653054-luka-modric,Real Madrid,Croatia,36,"MC, AMCMC",Right,172 CM,67 KG,653054,"€ 750,053,380","€ 321,940 pw",16,16,17,9,20,13,8,14,7,8,19,14,11,19,12,17,14,18,18,18,17,13,14,15,15,17,19,16,12,14,13,7,13,13,13,8
10,Virgil van Dijk,https://fminside.net/players/3-fm-23/37024025-virgil-van-dijk,Liverpool,Netherlands,30,DCDC,Right,193 CM,92 KG,37024025,"€ 278,400 pw",2025-06-30,3,6,13,8,17,13,18,7,8,16,16,10,17,16,17,16,15,17,16,16,16,11,17,8,16,14,14,14,15,12,15,17,17,15,14,17
11,Joshua Kimmich,https://fminside.net/players/3-fm-23/92039023-joshua-kimmich,FC Bayern,Germany,27,"DR, DM, WBR, MCDM, MC",Right,177 CM,75 KG,92039023,"€ 335,640 pw",2025-06-30,16,17,11,10,16,15,11,15,12,13,18,11,12,16,15,15,14,17,13,15,20,13,17,12,13,18,18,20,12,12,12,10,20,12,20,11
12,Neymar,https://fminside.net/players/3-fm-23/19024412-neymar,Paris Saint-Germain,Brazil,30,"ML, AML, AMC, STML, AML, AMC",Right,175 CM,68 KG,19024412,"€ 939,710 pw",2027-06-30,16,16,20,16,18,17,8,15,4,4,17,20,5,20,10,15,14,17,10,14,16,20,14,16,4,8,17,9,15,16,14,6,14,15,13,11
13,Bernardo Silva,https://fminside.net/players/3-fm-23/55041632-bernardo-silva,Man City,Portugal,27,"MC, MR, AMR, AMCMC, AMR, AMC",Left,173 CM,64 KG,55041632,"€ 208,800 pw",2025-06-30,14,15,17,15,17,13,10,13,2,12,17,13,8,18,13,16,15,16,15,15,16,17,12,17,13,16,17,20,15,19,16,7,17,14,17,9
14,Alisson,https://fminside.net/players/3-fm-23/19058734-alisson,Liverpool,Brazil,29,GKGK,Right,191 CM,91 KG,19058734,"€ 220,400 pw",2027-06-30,15,13,15,12,15,16,15,18,14,14,17,16,14,12,17,14,17,15,16,19,13,11,11,18,11,11,17,13,16,16,14,17,13,12,15,2
15,Rodri,https://fminside.net/players/3-fm-23/67217524-rodri,Man City,Spain,26,"DC, DM, MCDM",Right,191 CM,75 KG,67217524,"€ 185,600 pw",2027-06-30,7,8,13,9,15,8,13,14,8,13,15,8,17,14,13,17,15,17,16,18,13,9,11,13,17,16,14,16,14,13,12,17,16,13,17,16
16,Ederson,https://fminside.net/players/3-fm-23/55057659-ederson,Man City,Brazil,28,GKGK,Left,188 CM,86 KG,55057659,"€ 208,800 pw",2026-06-30,13,16,20,15,14,16,20,13,18,6,14,17,17,12,17,18,20,16,15,16,1,7,15,13,14,17,13,14,13,13,13,15,13,14,13,8
17,Marc-André ter Stegen,https://fminside.net/players/3-fm-23/35017428-marc-andre-ter-stegen,FC Barcelona,Germany,30,GKGK,Right,187 CM,85 KG,35017428,"€ 500,035,600","€ 165,010 pw",13,15,18,12,13,14,19,14,17,10,18,18,17,11,17,15,18,15,13,18,5,14,2,12,14,9,10,14,14,16,16,15,11,13,15,7
18,Rúben Dias,https://fminside.net/players/3-fm-23/55070299-ruben-dias,Man City,Portugal,25,DCDC,Right,186 CM,83 KG,55070299,"€ 203,000 pw",2027-06-30,4,11,12,6,13,5,15,4,5,17,14,8,18,13,16,17,18,15,16,15,18,8,17,8,17,16,13,17,13,13,12,16,18,13,18,16
19,Vinicius Júnior,https://fminside.net/players/3-fm-23/19302146-vinicius-junior,Real Madrid,Brazil,21,"AMR, AMLAML",Right,177 CM,62 KG,19302146,"€ 750,053,380","€ 215,770 pw",7,13,18,16,13,8,11,12,4,3,14,12,6,15,16,14,17,15,12,15,18,16,13,16,9,13,14,14,19,16,14,8,15,18,15,12
20,Jan Oblak,https://fminside.net/players/3-fm-23/64016316-jan-oblak,Atlético Madrid,Slovenia,29,GKGK,Right,189 CM,84 KG,64016316,"€ 120,008,550","€ 356,150 pw",15,15,17,4,12,18,16,16,14,9,19,15,14,8,11,13,17,16,16,15,15,11,2,16,13,8,13,11,13,13,13,9,13,13,13,8
21,Sadio Mané,https://fminside.net/players/3-fm-23/85100467-sadio-mane,FC Bayern,Senegal,30,"AMR, AML, AMC, STAMR, AML, ST",Right,174 CM,69 KG,85100467,"€ 345,230 pw",2025-06-30,9,12,16,13,16,8,14,12,3,8,14,12,10,17,14,17,15,15,12,14,17,16,13,18,9,16,14,17,15,16,15,12,17,15,14,11
22,Heung-Min Son,https://fminside.net/players/3-fm-23/92020288-heung-min-son,Tottenham Hotspur,South Korea,29,"ML, AML, STAML, ST",Both,183 CM,77 KG,92020288,"€ 228,520 pw",2025-06-30,14,14,15,16,13,13,8,16,6,5,13,9,6,17,8,15,6,17,11,13,14,13,13,17,7,14,12,17,16,14,12,10,16,16,16,10
23,Federico Valverde,https://fminside.net/players/3-fm-23/78074594-federico-valverde,Real Madrid,Uruguay,23,"MC, MR, AMRMC",Right,181 CM,74 KG,78074594,"€ 1,000,000,000","€ 209,800 pw",13,12,12,13,14,14,12,17,10,13,15,10,13,13,12,14,15,12,14,13,15,14,13,15,12,17,14,17,17,15,15,12,17,17,17,14
24,Manuel Neuer,https://fminside.net/players/3-fm-23/8718372-manuel-neuer,FC Bayern,Germany,36,GKGK,Right,193 CM,93 KG,8718372,"€ 326,050 pw",2024-06-30,16,16,20,18,12,14,18,15,15,8,15,20,17,13,14,14,20,14,14,18,12,17,13,16,12,15,12,11,13,14,18,19,11,12,16,8
25,Bruno Fernandes,https://fminside.net/players/3-fm-23/43124203-bruno-fernandes,Manchester United,Portugal,27,"MC, AMCAMC",Right,179 CM,69 KG,43124203,"€ 290,000 pw",2026-06-30,16,16,11,15,17,16,10,16,4,3,17,19,8,17,18,17,17,15,14,11,17,17,17,17,6,15,18,15,13,15,13,9,18,14,19,10
